unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source
1898,line,165,166,5,李隆基,李隆基,鶺鴒颂,Ethan-do0707/tang_poetry,3,5,冒霜停雪,冒霜停雪,4,冒霜停,leishu_3gram
1917,line,165,166,5,李隆基,李隆基,鶺鴒颂,Ethan-do0707/tang_poetry,22,5,下之所效,下之所效,4,下之所,leishu_3gram
1931,line,166,167,5,李隆基,李隆基,傀儡吟,Ethan-do0707/tang_poetry,3,7,还似人生一梦中,还似人生一梦中,7,人生一,leishu_3gram
2053,line,176,177,7,李适,李适,元日退朝观军仗归营,Ethan-do0707/tang_poetry,6,5,分行左右出,分行左右出,5,左右出,leishu_3gram
2076,line,177,178,7,李适,李适,中和节赐群臣宴赋七韵,Ethan-do0707/tang_poetry,13,5,戒之在无荒,戒之在无荒,5,戒之在,leishu_3gram
2108,line,180,181,7,李适,李适,重阳日即事,Ethan-do0707/tang_poetry,5,5,顺时休百工,顺时休百工,5,休百工,leishu_3gram
2110,line,180,181,7,李适,李适,重阳日即事,Ethan-do0707/tang_poetry,7,5,思为君臣同,思为君臣同,5,君臣同,leishu_3gram
2181,line,187,188,8,李昂1,李昂,宫中题,Ethan-do0707/tang_poetry,0,5,辇路生春草,辇路生春草,5,生春草,leishu_3gram
2210,line,192,193,9,李忱,李忱,吊白居易,Ethan-do0707/tang_poetry,0,7,缀玉联珠六十年,缀玉联珠六十年,7,六十年,leishu_3gram
2224,line,193,194,9,李忱,李忱,幸华严寺,Ethan-do0707/tang_poetry,6,7,今日追游何所似,今日追游何所似,7,何所似,leishu_3gram
2347,line,214,215,12,武则天,武则天,唐明堂乐章。皇帝行,Ethan-do0707/tang_poetry,7,5,永戢干戈,永戢干戈,4,戢干戈,leishu_3gram
2390,line,222,223,12,武则天,武则天,唐明堂乐章。商音,Ethan-do0707/tang_poetry,0,5,律中夷则,律中夷则,4,律中夷,leishu_3gram
2753,line,257,258,14,上官昭容,上官昭容,游长宁公主流杯池二十五首,Ethan-do0707/tang_poetry,111,7,山中有逸人,山中有逸人,5,山中有,leishu_3gram
2912,line,274,275,27,李昪,李昪,咏灯,Ethan-do0707/tang_poetry,3,7,敢向尊前不尽心,敢向尊前不尽心,7,尊前不,leishu_3gram
2966,line,282,283,29,李煜,李煜,渡中江望石城泣下,Ethan-do0707/tang_poetry,1,7,三十年来梦一场,三十年来梦一场,7,三十年,leishu_3gram
2971,line,282,283,29,李煜,李煜,渡中江望石城泣下,Ethan-do0707/tang_poetry,6,7,兄弟四人三百口,兄弟四人三百口,7,兄弟四,leishu_3gram
2985,line,283,284,29,李煜,李煜,挽辞,Ethan-do0707/tang_poetry,12,5,秾丽今何在,秾丽今何在,5,今何在,leishu_3gram
3120,line,295,296,31,李从谦,李从谦,观棋,Ethan-do0707/tang_poetry,3,5,争先各有心,争先各有心,5,各有心,leishu_3gram
3129,line,296,297,32,李建,李建,赠别唐太师道袭,Ethan-do0707/tang_poetry,4,7,今朝荣贵慰我心,今朝荣贵慰我心,7,慰我心,leishu_3gram
3177,line,305,306,34,钱镠,钱镠,句,Ethan-do0707/tang_poetry,2,5,黄河信有澄清日,黄河信有澄清日,7,有澄清,leishu_3gram
3283,line,319,320,38,徐氏,徐氏,游丈人观谒先帝御容,Ethan-do0707/tang_poetry,6,5,九疑山水远,九疑山水远,5,九疑山,leishu_3gram
3298,line,321,322,38,徐氏,徐氏,和题丹景山至德寺,Ethan-do0707/tang_poetry,5,7,内人皆在讲筵中,内人皆在讲筵中,7,人皆在,leishu_3gram
3417,line,334,335,39,佚名,佚名,郊庙歌辞。武后大享昊天乐章,Ethan-do0707/tang_poetry,48,5,樽浮九酝,樽浮九酝,4,樽浮九,leishu_3gram
3552,line,350,351,39,佚名,佚名,明皇祀圜丘乐章。寿和,Ethan-do0707/tang_poetry,3,5,奄有四方,奄有四方,4,有四方,leishu_3gram
3565,line,352,353,39,佚名,佚名,明皇祀圜丘乐章。舒和,Ethan-do0707/tang_poetry,0,5,祝史正辞,祝史正辞,4,祝史正,leishu_3gram
3571,line,352,353,39,佚名,佚名,明皇祀圜丘乐章。舒和,Ethan-do0707/tang_poetry,6,5,祀事孔明,祀事孔明,4,祀事孔,leishu_3gram
3631,line,359,360,39,佚名,佚名,封泰山乐章。雍和,Ethan-do0707/tang_poetry,4,5,钟鼓管磬,钟鼓管磬,4,鼓管磬,leishu_3gram
3640,line,360,361,39,佚名,佚名,封泰山乐章。寿和,Ethan-do0707/tang_poetry,5,5,配上帝亲,配上帝亲,4,配上帝,leishu_3gram
3642,line,360,361,39,佚名,佚名,封泰山乐章。寿和,Ethan-do0707/tang_poetry,7,5,孝天下臣,孝天下臣,4,孝天下,leishu_3gram
3655,line,363,364,39,佚名,佚名,封泰山乐章。凯安,Ethan-do0707/tang_poetry,4,5,戢兵天下安,戢兵天下安,5,天下安,leishu_3gram
3697,line,370,371,39,佚名,佚名,明堂乐章。舒和,Ethan-do0707/tang_poetry,2,7,偃武修文九围泰,偃武修文九围泰,7,偃武修,leishu_3gram
3714,line,372,373,39,佚名,佚名,武后明堂乐章。皇帝行,Ethan-do0707/tang_poetry,7,5,永戢干戈,永戢干戈,4,戢干戈,leishu_3gram
3757,line,380,381,39,佚名,佚名,武后明堂乐章。商音,Ethan-do0707/tang_poetry,0,5,律中夷则,律中夷则,4,律中夷,leishu_3gram
3840,line,391,392,39,佚名,佚名,郊庙歌辞。五郊乐章。青帝角音,Ethan-do0707/tang_poetry,7,5,蒸人乃粒,蒸人乃粒,4,蒸人乃,leishu_3gram
3938,line,406,407,39,佚名,佚名,郊庙歌辞。五郊乐章。舒和,Ethan-do0707/tang_poetry,1,7,朱干玉鏚始分行,朱干玉鏚始分行,7,朱干玉,leishu_3gram
4101,line,425,426,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。太和,Ethan-do0707/tang_poetry,24,5,夜如何其,夜如何其,4,夜如何,leishu_3gram
4102,line,425,426,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。太和,Ethan-do0707/tang_poetry,25,5,明星煌煌,明星煌煌,4,明星煌,leishu_3gram
4115,line,425,426,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。太和,Ethan-do0707/tang_poetry,38,5,如山之福,如山之福,4,如山之,leishu_3gram
4128,line,426,427,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。肃和,Ethan-do0707/tang_poetry,3,5,穆穆皇皇,穆穆皇皇,4,穆穆皇,leishu_3gram
4129,line,426,427,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。肃和,Ethan-do0707/tang_poetry,4,5,金奏九夏,金奏九夏,4,奏九夏,leishu_3gram
4166,line,431,432,39,佚名,佚名,郊庙歌辞。祀九宫贵神乐章。凯安,Ethan-do0707/tang_poetry,1,7,八音克谐六变新,八音克谐六变新,7,八音克,leishu_3gram
4227,line,440,441,40,包佶,包佶,郊庙歌辞。祀雨师乐章。奠币登歌,Ethan-do0707/tang_poetry,2,5,作解之功,作解之功,4,作解之,leishu_3gram
4283,line,448,449,39,佚名,佚名,郊庙歌辞。祭方丘乐章。舒和,Ethan-do0707/tang_poetry,2,7,一德惟宁两仪泰,一德惟宁两仪泰,7,一德惟,leishu_3gram
4401,line,465,466,39,佚名,佚名,郊庙歌辞。祭方丘乐章。金奏,Ethan-do0707/tang_poetry,6,5,于何不载,于何不载,4,于何不,leishu_3gram
4450,line,471,472,45,王晙,王晙,郊庙歌辞。祭汾阴乐章。太和,Ethan-do0707/tang_poetry,7,5,降福穰穰,降福穰穰,4,降福穰,leishu_3gram
4456,line,472,473,46,崔玄童,崔玄童,郊庙歌辞。祭汾阴乐章。肃和,Ethan-do0707/tang_poetry,5,5,明德惟聪,明德惟聪,4,明德惟,leishu_3gram
4526,line,481,482,39,佚名,佚名,郊庙歌辞。禅社首乐章。雍和,Ethan-do0707/tang_poetry,3,5,八音在县,八音在县,4,八音在,leishu_3gram
4527,line,481,482,39,佚名,佚名,郊庙歌辞。禅社首乐章。雍和,Ethan-do0707/tang_poetry,4,5,粢盛以洁,粢盛以洁,4,粢盛以,leishu_3gram
4529,line,481,482,39,佚名,佚名,郊庙歌辞。禅社首乐章。雍和,Ethan-do0707/tang_poetry,6,5,惟德惟馨,惟德惟馨,4,德惟馨,leishu_3gram
4533,line,482,483,39,佚名,佚名,郊庙歌辞。禅社首乐章。寿和,Ethan-do0707/tang_poetry,2,5,乐盈而反,乐盈而反,4,盈而反,leishu_3gram
4539,line,483,484,39,佚名,佚名,郊庙歌辞。禅社首乐章。福和,Ethan-do0707/tang_poetry,0,5,穆穆天子,穆穆天子,4,穆天子,leishu_3gram
4644,line,498,499,39,佚名,佚名,郊庙歌辞。蜡百神乐章。舒和,Ethan-do0707/tang_poetry,1,7,削平方域武功成,削平方域武功成,7,武功成,leishu_3gram
4669,line,501,502,39,佚名,佚名,郊庙歌辞。享先农乐章。咸和,Ethan-do0707/tang_poetry,6,5,式崇明祀,式崇明祀,4,崇明祀,leishu_3gram
4765,line,514,515,39,佚名,佚名,郊庙歌辞。释奠文宣王乐章。雍和,Ethan-do0707/tang_poetry,6,5,明德惟馨,明德惟馨,4,明德惟,leishu_3gram
4796,line,518,519,39,佚名,佚名,郊庙歌辞。释奠武成王乐章。迎神,Ethan-do0707/tang_poetry,9,5,感而遂通,感而遂通,4,感而遂,leishu_3gram
4886,line,531,532,59,姜晞,姜晞,郊庙歌辞。享龙池乐章。第九章,Ethan-do0707/tang_poetry,7,7,正同河变一千年,正同河变一千年,7,一千年,leishu_3gram
4894,line,532,533,60,裴璀,裴璀,郊庙歌辞。享龙池乐章。第十章,Ethan-do0707/tang_poetry,7,7,悬知此地是神仙,悬知此地是神仙,7,此地是,leishu_3gram
4901,line,533,534,39,佚名,佚名,郊庙歌辞。享太庙乐章。永和,Ethan-do0707/tang_poetry,6,5,是用孝享,是用孝享,4,是用孝,leishu_3gram
4914,line,535,536,39,佚名,佚名,郊庙歌辞。享太庙乐章。雍和,Ethan-do0707/tang_poetry,3,5,礼以昭事,礼以昭事,4,以昭事,leishu_3gram
4924,line,536,537,39,佚名,佚名,郊庙歌辞。享太庙乐章。长发舞,Ethan-do0707/tang_poetry,5,5,就日重光,就日重光,4,日重光,leishu_3gram
4925,line,536,537,39,佚名,佚名,郊庙歌辞。享太庙乐章。长发舞,Ethan-do0707/tang_poetry,6,5,本支百代,本支百代,4,本支百,leishu_3gram
4937,line,538,539,39,佚名,佚名,郊庙歌辞。享太庙乐章。大成舞,Ethan-do0707/tang_poetry,2,5,明明盛德,明明盛德,4,明盛德,leishu_3gram
4974,line,541,542,39,佚名,佚名,郊庙歌辞。享太庙乐章。舒和,Ethan-do0707/tang_poetry,3,7,明德惟馨凤历昌,明德惟馨凤历昌,7,明德惟,leishu_3gram
5070,line,547,548,39,佚名,佚名,郊庙歌辞。享太庙乐章。景云舞,Ethan-do0707/tang_poetry,23,5,明德配天,明德配天,4,德配天,leishu_3gram
5157,line,563,564,39,佚名,佚名,郊庙歌辞。享太庙乐章。升和,Ethan-do0707/tang_poetry,6,5,夕惕若厉,夕惕若厉,4,夕惕若,leishu_3gram
5246,line,577,578,39,佚名,佚名,郊庙歌辞。享太庙乐章。太和,Ethan-do0707/tang_poetry,3,5,在貌思恭,在貌思恭,4,貌思恭,leishu_3gram
5251,line,578,579,39,佚名,佚名,郊庙歌辞。享太庙乐章。肃和,Ethan-do0707/tang_poetry,0,5,天子享孝,天子享孝,4,天子享,leishu_3gram
5280,line,580,581,39,佚名,佚名,郊庙歌辞。享太庙乐章。文舞,Ethan-do0707/tang_poetry,5,5,克配彼天,克配彼天,4,克配彼,leishu_3gram
5318,line,583,584,39,佚名,佚名,郊庙歌辞。享太庙乐章。大政舞,Ethan-do0707/tang_poetry,7,5,成天下君,成天下君,4,成天下,leishu_3gram
5409,line,592,593,39,佚名,佚名,郊庙歌辞。享太庙乐章。凯安四章,Ethan-do0707/tang_poetry,28,5,戢兵天下安,戢兵天下安,5,天下安,leishu_3gram
5494,line,605,606,39,佚名,佚名,郊庙歌辞。享太庙乐章。咸宁舞,Ethan-do0707/tang_poetry,1,5,惟帝之光,惟帝之光,4,惟帝之,leishu_3gram
5584,line,615,616,39,佚名,佚名,郊庙歌辞。太清宫乐章。登歌,Ethan-do0707/tang_poetry,3,5,德惟馨香,德惟馨香,4,德惟馨,leishu_3gram
5588,line,615,616,39,佚名,佚名,郊庙歌辞。太清宫乐章。登歌,Ethan-do0707/tang_poetry,7,5,降福穰穰,降福穰穰,4,降福穰,leishu_3gram
5596,line,616,617,39,佚名,佚名,郊庙歌辞。太清宫乐章。真和,Ethan-do0707/tang_poetry,7,5,无思不服,无思不服,4,思不服,leishu_3gram
5627,line,620,621,39,佚名,佚名,郊庙歌辞。德明兴圣庙乐章。德明酌献,Ethan-do0707/tang_poetry,6,5,谟明之德,谟明之德,4,明之德,leishu_3gram
5723,line,630,631,39,佚名,佚名,郊庙歌辞。仪坤庙乐章。坤贞,Ethan-do0707/tang_poetry,14,7,实受其福,实受其福,4,受其福,leishu_3gram
5736,line,633,634,77,刘子玄,刘子玄,郊庙歌辞。仪坤庙乐章。安和,Ethan-do0707/tang_poetry,3,5,七德武功成,七德武功成,5,武功成,leishu_3gram
5789,line,642,643,39,佚名,佚名,郊庙歌辞。昭德皇后庙乐章。寿和,Ethan-do0707/tang_poetry,0,7,工祝致告,工祝致告,4,工祝致,leishu_3gram
5799,line,644,645,39,佚名,佚名,郊庙歌辞。昭德皇后庙乐章。凯安,Ethan-do0707/tang_poetry,0,5,辰位列四星,辰位列四星,5,位列四,leishu_3gram
5803,line,644,645,39,佚名,佚名,郊庙歌辞。昭德皇后庙乐章。凯安,Ethan-do0707/tang_poetry,4,5,承天厚载均,承天厚载均,5,承天厚,leishu_3gram
5817,line,647,648,80,李舒,李舒,郊庙歌辞。让皇帝庙乐章。迎神,Ethan-do0707/tang_poetry,4,5,爰命有司,爰命有司,4,命有司,leishu_3gram
5818,line,647,648,80,李舒,李舒,郊庙歌辞。让皇帝庙乐章。迎神,Ethan-do0707/tang_poetry,5,5,式遵前志,式遵前志,4,式遵前,leishu_3gram
6049,line,679,680,84,崔邠,崔邠,郊庙歌辞。享文敬太子庙乐章。亚献终献,Ethan-do0707/tang_poetry,2,5,入室僾如在,入室僾如在,5,入室僾,leishu_3gram
6064,line,681,682,85,归登,归登,郊庙歌辞。享惠昭太子庙乐章。请神,Ethan-do0707/tang_poetry,1,5,祀事孔明,祀事孔明,4,祀事孔,leishu_3gram
6210,line,699,700,91,赵光逢,赵光逢,郊庙歌辞。梁郊祀乐章。庆和,Ethan-do0707/tang_poetry,35,5,禋于六宗,禋于六宗,4,禋于六,leishu_3gram
6226,line,700,701,39,佚名,佚名,郊庙歌辞。梁郊祀乐章。庆顺,Ethan-do0707/tang_poetry,3,5,穆穆皇仪,穆穆皇仪,4,穆穆皇,leishu_3gram
6232,line,701,702,39,佚名,佚名,郊庙歌辞。梁郊祀乐章。庆平,Ethan-do0707/tang_poetry,1,5,帝德惟馨,帝德惟馨,4,德惟馨,leishu_3gram
6233,line,701,702,39,佚名,佚名,郊庙歌辞。梁郊祀乐章。庆平,Ethan-do0707/tang_poetry,2,5,享祀不忒,享祀不忒,4,享祀不,leishu_3gram
6239,line,702,703,92,张衮,张衮,郊庙歌辞。梁郊祀乐章。庆肃,Ethan-do0707/tang_poetry,0,5,笾豆簠簋,笾豆簠簋,4,豆簠簋,leishu_3gram
6240,line,702,703,92,张衮,张衮,郊庙歌辞。梁郊祀乐章。庆肃,Ethan-do0707/tang_poetry,1,5,黍稷非馨,黍稷非馨,4,黍稷非,leishu_3gram
6311,line,714,715,39,佚名,佚名,郊庙歌辞。周郊祀乐章。福顺乐,Ethan-do0707/tang_poetry,0,5,上天垂景贶,上天垂景贶,5,上天垂,leishu_3gram
6346,line,721,722,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。登歌,Ethan-do0707/tang_poetry,2,5,动以武功,动以武功,4,以武功,leishu_3gram
6347,line,721,722,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。登歌,Ethan-do0707/tang_poetry,3,5,静以文德,静以文德,4,以文德,leishu_3gram
6375,line,724,725,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。来仪舞,Ethan-do0707/tang_poetry,7,5,祚我生民,祚我生民,4,我生民,leishu_3gram
6380,line,725,726,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。昭德舞,Ethan-do0707/tang_poetry,4,5,奄有四海,奄有四海,4,有四海,leishu_3gram
6387,line,726,727,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。饮福,Ethan-do0707/tang_poetry,3,7,自天降福千万龄,自天降福千万龄,7,自天降,leishu_3gram
6390,line,727,728,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。撤豆,Ethan-do0707/tang_poetry,2,5,明星有烂,明星有烂,4,明星有,leishu_3gram
6398,line,728,729,39,佚名,佚名,郊庙歌辞。梁太庙乐舞辞。送神,Ethan-do0707/tang_poetry,2,5,黍稷非馨,黍稷非馨,4,黍稷非,leishu_3gram
6416,line,730,731,39,佚名,佚名,郊庙歌辞。后唐宗庙乐舞辞。文明舞,Ethan-do0707/tang_poetry,4,5,信及豚鱼,信及豚鱼,4,信及豚,leishu_3gram
6425,line,731,732,39,佚名,佚名,郊庙歌辞。后唐宗庙乐舞辞。应天舞,Ethan-do0707/tang_poetry,5,5,惟德是辅,惟德是辅,4,惟德是,leishu_3gram
6439,line,733,734,39,佚名,佚名,郊庙歌辞。后唐宗庙乐舞辞。武成舞,Ethan-do0707/tang_poetry,3,5,却日重光,却日重光,4,日重光,leishu_3gram
6449,line,734,735,39,佚名,佚名,郊庙歌辞。后唐宗庙乐舞辞。雍熙舞,Ethan-do0707/tang_poetry,5,5,百度惟贞,百度惟贞,4,百度惟,leishu_3gram
6474,line,737,738,39,佚名,佚名,郊庙歌辞。汉宗庙乐舞辞。积善舞,Ethan-do0707/tang_poetry,14,7,滔滔不竭,滔滔不竭,4,滔滔不,leishu_3gram
6548,line,743,744,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。肃雍舞,Ethan-do0707/tang_poetry,8,7,进旅退旅,进旅退旅,4,旅退旅,leishu_3gram
6552,line,743,744,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。肃雍舞,Ethan-do0707/tang_poetry,12,7,以妥以侑,以妥以侑,4,以妥以,leishu_3gram
6579,line,747,748,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。明德舞,Ethan-do0707/tang_poetry,7,7,知微知彰,知微知彰,4,知微知,leishu_3gram
6583,line,747,748,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。明德舞,Ethan-do0707/tang_poetry,11,7,以往蒸尝,以往蒸尝,4,以往蒸,leishu_3gram
6586,line,747,748,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。明德舞,Ethan-do0707/tang_poetry,14,7,工祝致告,工祝致告,4,工祝致,leishu_3gram
6596,line,749,750,39,佚名,佚名,郊庙歌辞。周宗庙乐舞辞。禋顺,Ethan-do0707/tang_poetry,0,5,旨酒既献,旨酒既献,4,旨酒既,leishu_3gram
6634,line,755,756,39,佚名,佚名,郊庙歌辞。晋朝飨乐章。初举酒文同乐,Ethan-do0707/tang_poetry,6,5,一人有庆,一人有庆,4,一人有,leishu_3gram
6664,line,759,760,39,佚名,佚名,郊庙歌辞。晋朝飨乐章。群臣酒行歌,Ethan-do0707/tang_poetry,4,5,一德君臣合,一德君臣合,5,君臣合,leishu_3gram
6732,line,767,768,39,佚名,佚名,郊庙歌辞。晋昭德成功舞歌。昭德舞歌二首,Ethan-do0707/tang_poetry,0,5,圣代修文德,圣代修文德,5,修文德,leishu_3gram
6760,line,768,769,39,佚名,佚名,郊庙歌辞。晋昭德成功舞歌。武功舞歌二首,Ethan-do0707/tang_poetry,12,5,既已櫜弓矢,既已櫜弓矢,5,櫜弓矢,leishu_3gram
6781,line,771,772,96,卢照邻,卢照邻,乐府杂曲。鼓吹曲辞。上之回,Ethan-do0707/tang_poetry,0,5,回中道路险,回中道路险,5,回中道,leishu_3gram
6786,line,771,772,96,卢照邻,卢照邻,乐府杂曲。鼓吹曲辞。上之回,Ethan-do0707/tang_poetry,5,5,天子按雕戈,天子按雕戈,5,天子按,leishu_3gram
6789,line,772,773,97,李白,李白,乐府杂曲。鼓吹曲辞。上之回,Ethan-do0707/tang_poetry,0,5,三十六离宫,三十六离宫,5,三十六,leishu_3gram
6821,line,775,776,97,李白,李白,乐府杂曲。鼓吹曲辞。战城南,Ethan-do0707/tang_poetry,6,7,匈奴以杀戮为耕作,匈奴以杀戮为耕作,8,匈奴以,leishu_3gram
6834,line,775,776,97,李白,李白,乐府杂曲。鼓吹曲辞。战城南,Ethan-do0707/tang_poetry,19,7,圣人不得已而用之,圣人不得已而用之,8,人不得,leishu_3gram
6859,line,777,778,99,贯休,贯休,乐府杂曲。鼓吹曲辞。战城南二首,Ethan-do0707/tang_poetry,16,5,十载不封侯,十载不封侯,5,不封侯,leishu_3gram
6940,line,786,787,106,孟郊,孟郊,乐府杂曲。鼓吹曲辞。巫山高二首,Ethan-do0707/tang_poetry,5,5,行云飞去明星稀,行云飞去明星稀,7,明星稀,leishu_3gram
6954,line,787,788,95,李贺,李贺,乐府杂曲。鼓吹曲辞。巫山高,Ethan-do0707/tang_poetry,5,5,瑶姬一去一千年,瑶姬一去一千年,7,一千年,leishu_3gram
6964,line,788,789,107,齐己,齐己,乐府杂曲。鼓吹曲辞。巫山高,Ethan-do0707/tang_poetry,8,5,不知今古行人行,不知今古行人行,7,不知今,leishu_3gram
6991,line,790,791,108,元稹,元稹,乐府杂曲。鼓吹曲辞。将进酒,Ethan-do0707/tang_poetry,3,7,言之主父伤主母,言之主父伤主母,7,之主父,leishu_3gram
6995,line,790,791,108,元稹,元稹,乐府杂曲。鼓吹曲辞。将进酒,Ethan-do0707/tang_poetry,7,7,主父不知加妾鞭,主父不知加妾鞭,7,主父不,leishu_3gram
7020,line,792,793,97,李白,李白,乐府杂曲。鼓吹曲辞。君马黄,Ethan-do0707/tang_poetry,8,5,各有千金裘,各有千金裘,5,有千金,leishu_3gram
7080,line,798,799,110,罗隐,罗隐,乐府杂曲。鼓吹曲辞。芳树,Ethan-do0707/tang_poetry,6,5,吾所以见造化之权,吾所以见造化之权,8,吾所以,leishu_3gram
7087,line,798,799,110,罗隐,罗隐,乐府杂曲。鼓吹曲辞。芳树,Ethan-do0707/tang_poetry,13,5,力可以止,力可以止,4,可以止,leishu_3gram
7104,line,800,801,97,李白,李白,乐府杂曲。鼓吹曲辞。有所思,Ethan-do0707/tang_poetry,1,5,乃在碧海之东隅,乃在碧海之东隅,7,在碧海,leishu_3gram
7131,line,802,803,111,卢仝,卢仝,乐府杂曲。鼓吹曲辞。有所思,Ethan-do0707/tang_poetry,16,5,美人兮美人,美人兮美人,5,美人兮,leishu_3gram
7143,line,804,805,112,刘氏云,刘氏云,乐府杂曲。鼓吹曲辞。有所思,Ethan-do0707/tang_poetry,0,5,朝亦有所思,朝亦有所思,5,亦有所,leishu_3gram
7144,line,804,805,112,刘氏云,刘氏云,乐府杂曲。鼓吹曲辞。有所思,Ethan-do0707/tang_poetry,1,5,暮亦有所思,暮亦有所思,5,亦有所,leishu_3gram
7219,line,809,810,115,庄南杰,庄南杰,乐府杂曲。鼓吹曲辞。黄雀行,Ethan-do0707/tang_poetry,0,7,穿屋穿墙不知止,穿屋穿墙不知止,7,不知止,leishu_3gram
